ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_BOUNDARY_TYPE	AREA	PERIMETER	POPULATION
111318	BANDAR BAHARU	MAY	NULL	NULL	22	266.871900	120.183854	37963
111319	BARAT DAYA	MAY	NULL	NULL	22	179.860700	100.167543	256286
111320	BATANG PADANG	MAY	NULL	NULL	22	2718.333400	309.410503	174743
111321	BATU PAHAT	MAY	NULL	NULL	22	1973.549800	205.457006	336560
111322	BENTUNG	MAY	NULL	NULL	22	1833.053600	252.981502	96689
111323	BERA	MAY	NULL	NULL	22	2226.190500	264.939724	77503
111324	BESUT	MAY	NULL	NULL	22	1225.176700	212.910284	143587
111325	CAMERON HIGHLANDS	MAY	NULL	NULL	22	683.496700	131.948475	28077
111326	DUNGUN	MAY	NULL	NULL	22	2735.318900	310.211493	188923
111327	GOMBAK	MAY	NULL	NULL	22	631.133600	173.390247	306168
111328	GUA MUSANG	MAY	NULL	NULL	22	8203.750300	575.994423	74988
111329	HILIR PERAK	MAY	NULL	NULL	22	1735.512400	289.503784	190868
111330	HULU PERAK	MAY	NULL	NULL	22	6688.865400	488.666873	82551
111331	HULU SELANGOR	MAY	NULL	NULL	22	1764.835700	220.396333	148296
111332	HULU TERENGGANU	MAY	NULL	NULL	22	3906.663200	381.442929	62322
111333	JASIN	MAY	NULL	NULL	22	689.581500	176.977254	101659
111334	JELEBU	MAY	NULL	NULL	22	1362.846000	195.759230	37294
111335	JELI	MAY	NULL	NULL	22	1280.324100	186.074634	35988
111336	JEMPOL	MAY	NULL	NULL	22	1460.802900	214.695191	125011
111337	JERANTUT	MAY	NULL	NULL	22	7268.665500	520.608396	80685
111338	JOHOR BAHRU	MAY	NULL	NULL	22	1848.352500	291.484620	1090502
111339	KEMAMAN	MAY	NULL	NULL	22	2545.023100	334.078262	222838
111340	KERIAN	MAY	NULL	NULL	22	915.848500	167.557793	152911
111341	KINTA	MAY	NULL	NULL	22	1972.981500	206.643110	695592
111342	KLANG	MAY	NULL	NULL	22	631.750600	302.008760	3632142
111343	KLUANG	MAY	NULL	NULL	22	2885.549700	264.973348	255565
111344	KOTA BHARU	MAY	NULL	NULL	22	344.949300	111.710119	361918
111345	KOTA SETAR	MAY	NULL	NULL	22	669.779700	153.936348	356049
