ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_BOUNDARY_TYPE	AREA	PERIMETER	POPULATION
11121	PULAU PINANG	MAY	PENANG	ENG	21	1177.394600	1324.312619	1322155
11122	PERAK	MAY	NULL	NULL	21	23508.779200	7706.046700	2560479
11123	SELANGOR	MAY	NULL	NULL	21	9582.685000	4820.889600	7089417
11124	NEGERI SEMBILAN	MAY	NULL	NULL	21	6771.719200	3136.467700	864175
11125	MELAKA	MAY	NULL	NULL	21	1666.399600	1984.448100	776210
11126	JOHOR	MAY	NULL	NULL	21	19782.605200	6473.071400	2690180
11127	KEDAH	MAY	NULL	NULL	21	12253.679900	9313.370900	2182060
11128	KELANTAN	MAY	NULL	NULL	21	16166.721600	7613.871600	1960729
11129	PAHANG	MAY	NULL	NULL	21	40450.573900	10027.867000	1772963
111210	TERENGGANU	MAY	NULL	NULL	21	14382.096600	6440.414900	1189094
111213	WILAYAH PERSEKUTUAN	MAY	NULL	NULL	21	537.791500	505.901300	1518405
111214	PERLIS	MAY	NULL	NULL	21	836.482400	639.500100	204192
